name,auditID,qualityType,auditDate,auditEnd,Date,Audit Standard,Address,SAM,Available in MI/SI?,Final QCR,Calculation completed,Date of Calculation,Missing Data,Minor - Observations,Major - Observations,Critical - Observations,Observations rating,Avg Rating Quality Documentation,Avg Rating Quality Monitoring,Avg Rat Facilities and Operations,Compliance Score,capaAdequacy,CAPA baseline,actionPlanSent,Initial NEW,Days,CAPA score,Observations DATA available,Rating DATA available,CAPA DATA available,Award,Award,Request to increase Score
Donaldson Filtration Deutschland GmbH,recZ2pl5OTAz2Mr7M,ISO_9001,28/05/2024,,28/05/2024,"ISO 9001:2015 - Quality management systems, as applicable to the manufacturing of filtration products","Büssingstraße 1, 
42781, Haan, 
Germany",Nicolina Guasch,Yes,88.45,TRUE,,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,20.06.2024,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
HUNAN FURUI BIOPHARMA TECHNOLOGY CO. LTD,recpIBYhNHnM2EF1k,GMP_STARTING_MATERIALS,28/05/2024,,28/05/2024,EU GMP Part II for Sita Amina; APIC Guide for Auditing Registered Starting Material Manufacturers (2018) for Trifluorophenyl Acetic Acid,"No. 199 Yangliu South Road, Tianyi Economic Development Zone, 
Xiangtan City, Hunan Province, 
, Xiangtan County, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,5,5,0,34.3,59,54,54,55.25,,Missing adequacy,05.06.2024,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
CHINOIN Private Co. Ltd. (a Sanofi company),recwWGMwXkBAKUxcq,STERILE_FDF,28/05/2024,29/05/2024,28/05/2024 - 29/05/2024,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes
Annex 1 – Manufacture of Sterile Medicinal Products (as updated on 22/Aug/2022)
","Csanyikvölgy site, 
3510, Miskolc, 
Hungary",Ania Jaworska,Yes,100.00,TRUE,,FALSE,0,0,0,100.0,100,100,100,100.00,No CAPA needed,No CAPA needed,18.06.2024,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
GAP S.A.,recXZohEl7fyy6XBf,GMP_FDF,28/05/2024,,28/05/2024,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes","Aghisilaou 46, 
17341, Athens, 
Greece",Ania Jaworska,Yes,89.50,TRUE,,FALSE,1,0,0,95.0,67,67,67,67.00,Excellent,100,14.06.2024,25.06.2024,0,100.00,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Bioexam AG,recPtkw3SE3tNJ5Yp,GMP_LABORATORY,29/05/2024,,29/05/2024,"Applicable parts of EU GMP (including annexes)
ISO/IEC 17025:2017 - General requirements for the competence of testing and calibration laboratories","Maihofstrasse 95A, 
6006, Luzern, 
Switzerland",Nicolina Guasch,Yes,79.08,TRUE,10/09/2024,FALSE,2,0,0,90.3,67,67,67,67.00,Good,85,10.06.2024,26.07.2024,32,72.40,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Syngene International Ltd.,recB1GAoexz5hcXCw,GMP_API,29/05/2024,,29/05/2024,EUGMP Part II / ICH Q7,"Biocon SEZ, Biocon Park, Plot No 2,3,4 &5 Bommasandra Industrial Area, Jigani Link Road, 
560099, Bengaluru, Karnataka, 
India",Ania Jaworska,Yes,73.78,TRUE,,FALSE,2,0,0,90.3,67,67,67,67.00,Acceptable,55,05.06.2024,20.06.2024,1,54.73,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
"Suzhou Jingye Medicine & Chemical Co., Ltd.",recEPzOMrYDRtoNEx,GMP_STARTING_MATERIALS,29/05/2024,,29/05/2024,,"No.88, Sanlian Street, Jinfeng Road, 
215129, Suzhou, Jiangsu, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,1,0,0,95.0,67,67,67,67.00,,Missing adequacy,18.06.2024,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"Chengdu ZY Biochemical Technology Co., Ltd.",rec3DJpdag7k17jcw,GMP_STARTING_MATERIALS,29/05/2024,,29/05/2024,APIC Guide for Auditing Registered Starting Material Manufacturers (2018),"Building 1, No. 170, Qingpu Road,, 
6116XX, Pujiang County, Chengdu, Sichuan Province, 
Shou'an Town, 
China",Chieh Huang,Yes,56.99,TRUE,10/09/2024,FALSE,3,2,0,61.9,51,47,54,50.80,Acceptable,55,10.06.2024,25.06.2024,1,54.73,TRUE,TRUE,TRUE,Bronze,TRUE,FALSE
GBA Gesellschaft für Bioanalytik Mbh,recaCWsH2CdslFI21,GMP_LABORATORY,29/05/2024,,29/05/2024,EUGMP Part I,"Goldtschmidstr.5, 
21073, Hamburg, 
Germany",Nicolina Guasch,Yes,73.14,TRUE,,FALSE,5,0,0,77.4,51,56,67,59.15,Good,85,12.06.2024,12.07.2024,16,78.45,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
"Zhangjiajie Jiurui Biology & Chemistry Co., Ltd.",recxNu6AvS6ULoZwZ,GMP_EXCIPIENTS,29/05/2024,,29/05/2024,2022 IPEC – PQG Good Manufacturing Practices Guide for pharmaceutical excipients,"DISTRIC C, ECONOMIC DEVELOPMENT ZONE,, 
42700, ZHANGJIAJIE CITY, 
HUNAN, 
China",Chieh Huang,Yes,Missing/wrong Data,FALSE,,TRUE,1,23,0,2.3,1,1,8,3.80,,Missing adequacy,05.06.2024,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
"WEST PHARMACEUTICAL SERVICES, INC",recx0U6niNpL0tTFH,GMP_PACKAGING,30/05/2024,,30/05/2024,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing
practice (GMP)
","1028 INNOVATION WAY, 
KINSTON, 
United States",Laura Lopez,Yes,88.45,TRUE,,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,11.06.2024,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
AqVida GmbH,recV1UVPIQ1IkIqEF,GMP_FDF,30/05/2024,,30/05/2024,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes
Annex 1 – Manufacture of Sterile Medicinal Products (as updated on 22/Aug/2022)","Kaiser-Wilhelm Straße 89, 
20355, Hamburg, 
Germany",Nicolina Guasch,Yes,68.74,TRUE,,FALSE,2,1,0,76.7,59,67,56,60.60,Good,85,19.06.2024,30.08.2024,58,63.56,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
AB-BIOTICS S.A.,recSeZAqmI5GDkHZp,GMP_FDF,30/05/2024,31/05/2024,30/05/2024 - 31/05/2024,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes","Pol. Ind. “Els Xops” Nau 8, 
8185, Barcelona, 
Lliçà de Vall, 
Spain",Gonzalo Regal,Yes,45.71,TRUE,25/09/2024,FALSE,7,7,0,22.4,67,47,54,54.80,Good,85,25.06.2024,08.08.2024,30,73.13,TRUE,TRUE,TRUE,No award,FALSE,FALSE
Bouwhuis Enthoven BV,recPUEDh9r9sBXToK,GMP_API,30/05/2024,,30/05/2024,"EU GMP Part II / ICH Q7, EU GMP Annex 2, US FDA 21 CFR Parts 210, 211 and 600","Aakstraat 14, 
8102 HH, Raalte, 
Netherlands",Victoria,Yes,58.42,TRUE,17/10/2024,FALSE,4,2,0,58.8,67,60,60,61.75,Acceptable,55,20.06.2024,20.06.2024,0,55.00,TRUE,TRUE,TRUE,Bronze,TRUE,FALSE
Pharmaprogress Srl,rec9Sl0gtrWWnMGdC,GMP_LABORATORY,30/05/2024,,30/05/2024,Applicable parts of EU GMP (including annexes),"Via Emilia Romagna, 28, 
60030, Monsano, 
Ancona, 
Italy",Omar Taha,Yes,72.29,TRUE,,FALSE,2,0,0,90.3,67,67,67,67.00,Acceptable,55,19.06.2024,23.07.2024,20,49.75,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Moehs Catalana S.L.,reccH1KuvZfAB3cYg,GMP_API,14/06/2022,,14/06/2022,EUGMP Part II / ICH Q7,"César Martinell i Brunet, No. 12A, 
8191, Rubí, 
Poligono Industrial Rubi Sur, 
Spain",Gonzalo Regal,Yes,61.33,TRUE,,FALSE,6,2,0,53.1,67,60,67,64.55,Good,85,27.09.2022,16.11.2022,36,70.97,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
Cayman Pharma s.r.o.,recYOJH6DbepoLOgr,GMP_API,03/06/2024,,03/06/2024,EUGMP Part II / ICH Q7,"Práce 657, 
277 11, Neratovice, 
Czech Republic",Ania Jaworska,Yes,79.34,TRUE,,FALSE,3,0,0,85.7,67,67,67,67.00,Good,85,21.06.2024,17.07.2024,12,80.04,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
CARLO ERBA Reagents S.A.S.,recICkLMvwDK0jpZv,GMP_PACKAGING,03/06/2024,,03/06/2024,"ISO 9001:2015 - Quality management systems, as applicable to the manufacturing of pharmaceutical excipients
2022 IPEC – PQG Good Manufacturing Practices Guide for pharmaceutical excipients","ZA Valdonne, 
13124, Peypin, 
France",Omar Taha,Yes,56.57,TRUE,10/09/2024,FALSE,2,2,0,65.2,59,59,67,62.20,Acceptable,55,18.06.2024,09.09.2024,69,38.92,TRUE,TRUE,TRUE,Bronze,TRUE,FALSE
Lukasiewicz Research Institute – Industrial Chemistry Institute (formerly The Łukasiewicz Network),recU6hP2cRr5FIXpq,GMP_API,04/06/2024,,04/06/2024,EUGMP Part II / ICH Q7,"Rydygiera 8, 
01-793 Warsaw, Warsaw, 
Poland",Ania Jaworska,Yes,55.89,TRUE,10/09/2024,FALSE,3,2,0,61.9,67,54,60,59.65,Acceptable,55,07.06.2024,06.08.2024,46,43.67,TRUE,TRUE,TRUE,Bronze,TRUE,FALSE
K+S Minerals and Agriculture GmbH,rececw7PJINHtaX4N,GMP_API,04/06/2024,,04/06/2024,EUGMP Part II / ICH Q7,"Karlstraße 80, 
47495, Rheinberg, 
Germany",Anne Germer,Yes,80.18,TRUE,,FALSE,1,0,0,95.0,59,67,67,65.00,Good,85,18.06.2024,08.08.2024,37,70.61,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Renata limited,rec6A2puEtCvp1agd,GMP_FDF,04/06/2024,05/06/2024,04/06/2024 - 05/06/2024,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes","Plot # 1, Milk Vita Road, Section: 7; Mirpur; Dhaka-1216, 
Dhaka, 
Bangladesh",Omar Taha,Yes,63.73,TRUE,17/10/2024,FALSE,0,1,0,85.0,42,34,54,44.00,Acceptable,55,20.06.2024,30.07.2024,26,48.28,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
ExtractumPharma ,recVpqmUj8wisUNUc,GMP_FDF,04/06/2024,05/06/2024,04/06/2024 - 05/06/2024,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes","IV. Körzet 6, 
6413, Kunfehértó, 
Hungary",Ania Jaworska,Yes,79.19,TRUE,,FALSE,2,0,0,90.3,67,67,67,67.00,Good,85,18.06.2024,02.08.2024,31,72.77,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Interquim S.A.,recwu3rdM3Omld5BG,GMP_API,04/06/2024,,04/06/2024,EUGMP Part II / ICH Q7,"Carrer de Joan Buscallà 10, 
8173, Sant Cugat del Vallès (Barcelona), 
Spain",Gonzalo Regal,Yes,88.45,TRUE,,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,21.06.2024,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Evidenze Health España,reczri2XVZSCR5PFF,GCP_CLINICAL,04/06/2024,06/06/2024,04/06/2024 - 06/06/2024,,"Edificio K, Complejo Miniparc III, C. de la Caléndula, 93, 
28040, Alcobendas (Madrid), 
Spain",Laura Lopez,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,Not provided,Missing adequacy,,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
RENOLIT BRIGHTWOOD PHARMMED CONSUMABLE (BJ) LTD.,recXfesBkoI1E70H2,GMP_PACKAGING,04/06/2024,,04/06/2024,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing practice (GMP).","2nd Floor Building 1, No. 3 Yanqi River West Road, 
Beijing, 
China",Chieh Huang,Yes,63.17,TRUE,17/10/2024,FALSE,2,1,0,76.7,59,67,67,65.00,Acceptable,55,13.06.2024,23.08.2024,57,41.33,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
"Formosa Laboratories, Inc.",recFUSXsWAeOdagJe,STERILE_FDF,04/06/2024,05/06/2024,04/06/2024 - 05/06/2024,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes (paying special attention to Annex I)","36 Hoping Street, Louchu, 
33842, Taoyuan, 
Taiwan",Chieh Huang,Yes,59.67,TRUE,,FALSE,0,3,0,61.4,67,54,67,62.45,Acceptable,55,25.06.2024,10.07.2024,1,54.73,TRUE,TRUE,TRUE,Bronze,TRUE,FALSE
Bormioli Pharma S.p.A. - Castelguelfo,recgbHqmeaou8dS9w,GMP_PACKAGING,05/06/2024,,05/06/2024,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing practice (GMP).","Str Nazionale Emilia, 58,, 
43010, Castelguelfo Di Fontevivo, 
Italy",Omar Taha,Yes,66.82,TRUE,,FALSE,4,0,0,81.5,67,56,60,60.35,Acceptable,55,21.06.2024,23.07.2024,18,50.25,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
Meggle USA (Agropur inc.),recEXNiHdQIbCvJF8,GMP_EXCIPIENTS,05/06/2024,,05/06/2024,2022 IPEC – PQG Good Manufacturing Practices Guide for Pharmaceutical Excipients,"719 North Main Street, 
56058-1404, Le Sueur, MN, 
United States",Anne Germer,Yes,71.26,TRUE,10/09/2024,FALSE,3,0,0,85.7,67,67,67,67.00,Acceptable,55,27.06.2024,18.07.2024,7,53.10,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Valaji Pharma Chem,recLG5J4MPx4MmSHf,GMP_API,05/06/2024,,05/06/2024,2022 IPEC – PQG Good Manufacturing Practices Guide for pharmaceutical excipients,"Plot n° 475, AT & POST - LUNA, TAL - PADRA, 
Vadodara, 
India",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,5,4,0,40.4,34,47,41,41.35,,Missing adequacy,01.07.2024,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
BIOTEQUE,rechBYhFiNnqviBKi,GMP_PACKAGING,05/06/2024,,05/06/2024,ISO 13485:2016 Medical devices — Quality management systems — Requirements for regulatory purposes,"No. 5, Chung Cheng Road, 
Su-Ao Cheng, I-Lan, 
Taiwan",Chieh Huang,Yes,53.11,TRUE,17/10/2024,FALSE,6,2,0,53.1,67,50.5,53.8,55.95,Acceptable,55,03.07.2024,02.08.2024,16,50.76,TRUE,TRUE,TRUE,Bronze,TRUE,FALSE
Centro Sperimentale Del Latte S.r.l.,recLIuGlm7lS4Urgd,FOOD,05/06/2024,,05/06/2024,"BRC: Global Standard for Food Safety (Issue 9, Aug 2022)
FSSC 22000 version 6.0 (Food Safety System Certification):
-	ISO 22000:2018
-	ISO/TS 22002-X // BSI/PAS 221:2013
","Strada Provinciale per Merlino, 3, 
26839 LO, Zelo buon Persico, 
Italy",Omar Taha,Yes,88.45,TRUE,,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,14.06.2024,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
"Piñales del Caribe GAC, S.A.",rec5ZMIbYR6OmBF1U,ESG,05/06/2024,,05/06/2024,Full Cycle Sustainability Audit,"Río Jiménez, Guácimo, 
70604, Limón, 
Germania, 
Costa Rica",Laura Lopez,Yes,88.45,TRUE,,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,03.07.2024,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
"Shandong Anhong Pharmaceutical Co., Ltd.",rec3jjMN7P4gsH0sl,GMP_API,05/06/2024,,05/06/2024,EUGMP Part II / ICH Q7,"No. 29 Huayuan Street, 
251500, Linyi County, Dezhou, 
Shandong Province, 
China",Chieh Huang,Yes,83.15,TRUE,,FALSE,1,0,0,95.0,67,67,67,67.00,Good,85,20.06.2024,19.07.2024,15,78.84,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Eskayef (SKF),recEVWvlTtQaptkm0,STERILE_FDF,05/06/2024,06/06/2024,05/06/2024 - 06/06/2024,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes and","400 Squibb Road, Tongi Industrial Area,, 
1711, Gazipur, 
Tongi,, 
Bangladesh",Omar Taha,Yes,59.27,TRUE,10/09/2024,FALSE,6,0,0,73.5,51,54,60,55.65,Acceptable,55,21.06.2024,02.09.2024,59,40.92,TRUE,TRUE,TRUE,Bronze,TRUE,FALSE
B'SYS,recWPTERxUeBGxQ4J,GLP_LABORATORY,05/06/2024,,05/06/2024,"GLP principles, including the OECD Series on Principles of Good Laboratory Practice and Compliance Monitoring","Benkenstrasse 254, 
4108, Witterswil, 
Switzerland",Nicolina Guasch,Yes,71.44,TRUE,10/09/2024,FALSE,6,0,0,73.5,67,67,67,67.00,Good,85,03.07.2024,19.08.2024,33,72.04,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Bormioli Pharma S.p.A. - Rivanazzano,recWyKssEfJHU6uYs,GMP_PACKAGING,06/06/2024,,06/06/2024,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing practice (GMP).","Via Tortona, 48, 
27055, Rivanazzano, 
Italy",Omar Taha,Yes,75.31,TRUE,,FALSE,2,1,0,76.7,59,56,67,61.15,Good,85,28.06.2024,10.07.2024,0,85.00,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
CG Chemikalien GmbH & Co. KG - Health & Nutrition,recGSumpsQ1YVelQJ,GMP_API,06/06/2024,,06/06/2024,,"Ulmer Straße 1, 
30880, Laatzen, 
Germany",Anne Germer,No,Missing/wrong Data,FALSE,,TRUE,Check,Check,Check,Observation data missing,Check,Check,Check,#VALUE!,,Missing adequacy,27.06.2024,Data missing,Error in calculation,Missing/Wrong CAPA data,FALSE,FALSE,FALSE,Not calculated,FALSE,FALSE
EirGenix Inc.,recas1gj6K6HdQreP,GMP_API,06/06/2024,07/06/2024,06/06/2024 - 07/06/2024,EUGMP Part II / ICH Q7 and EU GMP Part I Annex 2,"No. 168, Section 1, Shengyi Road, 
30261, Zhubei City, 
Hsinchu County, 
Taiwan",Chieh Huang,Yes,49.69,TRUE,25/09/2024,FALSE,4,3,0,50.0,59,47,54,52.80,Acceptable,55,27.06.2024,13.08.2024,33,46.61,TRUE,TRUE,TRUE,No award,FALSE,FALSE
SEQENS (anterior Expansia - PCAS Group),rec7osL4XCb9OwPA1,GMP_API,06/06/2024,,06/06/2024,EUGMP Part II / ICH Q7,"Route d'Avignon,, 
30390, Aramon, 
France",Victoria Holmberg,Yes,62.61,TRUE,10/09/2024,FALSE,3,1,0,72.9,59,67,67,65.00,Acceptable,55,21.06.2024,13.08.2024,39,45.23,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
Aurobindo Pharma Limited (Unit 3),recAYnxZa2mlnda2V,GMP_FDF,06/06/2024,,06/06/2024,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes","Aurobindo Pharma Limited (Unit III) Survey No. 313 (P) & 314 (P), Bachupally, Quthubullapur Mandal, R.R.District, 
500 090, Hyderabad, 
Telangana, 
India",Victoria,Yes,74.59,TRUE,10/09/2024,FALSE,3,0,0,85.7,67,67,67,67.00,Good,85,14.06.2024,23.08.2024,56,64.20,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Limofrut SA,recD4wDtmx26nJ7cR,ESG,06/06/2024,,06/06/2024,Full Cycle Sustainability Audit,"500 m este de la escuela de Boston,, 
Boston, 
Matina, 
Costa Rica",Laura Lopez,Yes,88.45,TRUE,,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,03.07.2024,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Montage Chemicals Pvt. Ltd,recio68ECuXSpz8gn,GMP_API,06/06/2024,,06/06/2024,EUGMP Part II / ICH Q7,"W-38, MIDC, Morivali, Ambernath, 
421501, Maharashtra, 
India",Victoria,Yes,Missing/wrong Data,FALSE,,TRUE,20,12,0,5.1,18,14,47,28.20,,Missing adequacy,26.06.2024,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
World Courier del Perú S.A.,reczvoi5SvetmrHlp,"GDP_DISTRIBUTION, GMP_FDF",06/06/2024,,06/06/2024,,"Santa Francisca Romana 1092, 
15088, Lima, 
Urb. Pando. San Miguel, 
Peru",Gonzalo Regal,No,88.45,TRUE,,FALSE,0,0,0,100.0,67,67,67,67.00,No CAPA needed,No CAPA needed,18.06.2024,Data missing,No CAPA needed,Not needed,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
CG Chemikalien GmbH & Co. KG - Health & Nutrition,recOgcFXo9QFjtvi8,GMP_EXCIPIENTS,06/06/2024,,06/06/2024,EU-GMP Part II / ICH Q7,"Ulmer Straße 1, 
30880, Laatzen, 
Germany",Anne Germer,Yes,69.00,TRUE,,FALSE,8,0,0,66.3,67,51,60,58.60,Good,85,27.06.2024,19.07.2024,8,81.66,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
Tamro Eesti OÜ,recrnUh16YbEiexX4,GDP_DISTRIBUTION,06/06/2024,,06/06/2024,"EC Guidelines of 5 November 2013 on Good Distribution Practice of medicinal products for human use (2013/C 343/01)
Commission implementing regulation (EU) 2021/1248 of 29 July 2021 as regards measures on good distribution practice for veterinary medicinal products","Pärnu mnt 501, 
76401, Laagri, 
Estonia",Victoria Holmberg,Yes,Missing/wrong Data,FALSE,,TRUE,2,0,0,90.3,67,67,67,67.00,,Missing adequacy,14.06.2024,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
SCHOTT de Mexico SA de CV,recnA7Mj96DZwNYXk,GMP_PACKAGING,07/06/2024,,07/06/2024,"ISO 15378:2017 Primary packaging materials for medicinal products — Particular requirements for the application of ISO 9001:2015, with reference to good manufacturing practice (GMP).","Carretera Mexico-Veracruz km 349, 
94946, VERACRUZ-MEXICO, 
Col.Venta Parada, Amatlan de los Reyes, 
Mexico",Gonzalo Regal,Yes,82.22,TRUE,10/09/2024,FALSE,1,0,0,95.0,67,67,67,67.00,Good,85,03.07.2024,09.08.2024,23,75.74,TRUE,TRUE,TRUE,Platinum,TRUE,FALSE
Particle Technology Labs,recmqYdXgfxCWLyW1,GMP_LABORATORY,07/06/2024,,07/06/2024,"Applicable parts of EU GMP (including annexes)
21 CFR 211.160
ISO 17025:2017","555 Rogers St #4, 
60515, Downers Grove, IL, 
United States",Ania Jaworska,Yes,78.40,TRUE,,FALSE,1,0,0,95.0,67,67,1,40.60,Good,85,25.06.2024,03.07.2024,0,85.00,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
NAMSA DIEST,recIdDjEXICCBeq2W,GLP_LABORATORY,07/06/2024,,07/06/2024,,"Heggestraat 10, 
3290, Diest, 
Belgium",Victoria,Yes,Missing/wrong Data,FALSE,,TRUE,3,2,0,61.9,59,51,67,59.40,Good,85,21.06.2024,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Harika Drugs Pvt. Ltd.,rec2pcbzIJSqlXJfJ,GMP_API,10/06/2024,,10/06/2024,EUGMP Part II / ICH Q7,"Sy. No. 165/A & 165/E Kanukunta Road, Sangareddy District, 
502313, Gummadidala, 
Telangana, 
India",Nicolina Guasch,Yes,60.92,TRUE,10/09/2024,FALSE,0,2,0,72.3,67,60,60,61.75,Acceptable,55,28.06.2024,29.08.2024,48,43.24,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
Vasa Pharmachem Pvt. Ltd.,recYnNm63zseETyAq,GMP_API,10/06/2024,,10/06/2024,EUGMP Part II / ICH Q7,"11, G.I.D.C. Industrial Estate, Behrampura, Ahmedabad -22 Gujarat India, 
380022, Guajarat, 
India",Ania Jaworska,Yes,Missing/wrong Data,FALSE,,TRUE,10,7,0,19.2,42,21,41,34.25,,Missing adequacy,26.06.2024,Data missing,Error in calculation,Missing/Wrong CAPA data,TRUE,TRUE,FALSE,Not calculated,FALSE,FALSE
Novartis Pharma Schweizerhalle AG,recitfgPKK3JD2hoR,GMP_EXCIPIENTS,10/06/2024,,10/06/2024,2022 IPEC – PQG Good Manufacturing Practices Guide for pharmaceutical excipients,"Rothausstrasse 61, 
4133, Pratteln, 
Switzerland",Anne Germer,Yes,67.27,TRUE,17/10/2024,FALSE,6,0,0,73.5,84,60,67,68.80,Good,85,28.06.2024,01.10.2024,81,56.64,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
"Laboratorios Liconsa, S.A.",recK3qZSfDHP114j3,GMP_FDF,11/06/2024,,11/06/2024,"EudraLex Vol. 4, with focus on EU GMP Part I and the applicable annexes","Avenida de Miralcampo 7, 
19200, Azuqueca de Henares, 
Guadalajara, 
Spain",Gonzalo Regal,Yes,74.69,TRUE,,FALSE,6,0,0,73.5,67,74,67,69.45,Good,85,02.07.2024,26.07.2024,10,80.84,TRUE,TRUE,TRUE,Gold,TRUE,FALSE
Excella GmbH & Co. KG,recmg2vzW72Nm7zIk,GMP_API,11/06/2024,12/06/2024,11/06/2024 - 12/06/2024,"EUGMP Part II / ICH Q7 / 21CFR, Parts 210 and 211","Nürnberger Straße 12, 
90537, Feucht, 
Germany",Nicolina Guasch,Yes,68.28,TRUE,10/09/2024,FALSE,6,1,0,62.5,67,67,67,67.00,Good,85,25.06.2024,26.07.2024,17,78.06,TRUE,TRUE,TRUE,Silver,TRUE,FALSE
MSN Laboratories Private Limited,recJRQ7IcblcUTsUF,GMP_API,11/06/2024,,11/06/2024,EUGMP Part II / ICH Q7,"Sy.No. 317, 320, 321, 322, 323, 604 & 605, Rudraram (Village), Sangareddy District, 
502329, Patancheru, 
Telangana, 
India",Victoria,Yes,59.61,TRUE,10/09/2024,FALSE,8,0,0,66.3,67,67,60,64.20,Acceptable,55,26.06.2024,16.08.2024,37,45.69,TRUE,TRUE,TRUE,Bronze,TRUE,FALSE
"LABORATORIO REIG JOFRE, S.A.",recFUT7wzEBiTCdsl,STERILE_FDF,11/06/2024,,11/06/2024,"EudraLex Vol. 4, with a focus on EU GMP Part I and the applicable annexes","C/Jarama s/n, Poligono Industrial, 
45007, Toledo, 
Spain",Gonzalo Regal,Yes,51.44,TRUE,10/09/2024,FALSE,8,2,0,47.9,59,54,60,57.65,Acceptable,55,02.07.2024,29.07.2024,13,51.53,TRUE,TRUE,TRUE,Bronze,TRUE,FALSE
