HOLDER,SUBJECT
CURIA NEW YORK INC,VORINOSTAT DRUG SUBSTANCE
EXOPHARM CO LTD,VINORELBINE TARTRATE (NON-STERILE BULK DRUG SUBSTANCE)
HETERO DRUGS LTD,PERINDOPRIL TERT-BUTYLAMINE
TIANJIN TIANYAO PHARMACEUTICALS CO LTD,TRIAMCINOLONE ACETONIDE USP
TIANISH LABORATORIES PRIVATE LTD,SILDENAFIL CITRATE USP
TIANISH LABORATORIES PRIVATE LTD,RIZATRIPTAN BENZOATE USP
EVONIK TECHNOCHEMIE GMBH,D-PENICILLAMINE
3M DRUG DELIVERY SYSTEMS,COTRAN™ 9719 POLYETHYLENE FILM
3M DRUG DELIVERY SYSTEMS,"SCOTCHPAK(TM) 9680, 2-MIL POLYESTER FILM LAMINATE"
EVONIK OPERATIONS GMBH,RESOMER® R FOR PHARMACEUTICAL APPLICATIONS
EVONIK OPERATIONS GMBH,RESOMER® RG FOR PHARMACEUTICAL APPLICATIONS
HIKAL LTD,LEVETIRACETAM API
LUPIN LTD,ESCITALOPRAM OXALATE USP
APITORIA PHARMA PRIVATE LTD,CARVEDILOL USP
ELAN DRUG DELIVERY INC,N1504 NANOCRYSTAL(R) COLLOIDAL DISPERSION - STERILE INTERMEDIATE
SENAWANG LAMINATING TECHNOLOGIES SDN BHD,"SL5825A, CLEAR LAMINATE FOR MEDICAL PACKAGING"
MACFARLAN SMITH LTD,BUPRENORPHINE HYDROCHLORIDE
NAIGAI GLASS INDUSTRY CO LTD,AMPOULE
YUNNAN HANDE BIO-TECH CO LTD,PACLITAXEL DRUG SUBSTANCE ISOLATED FROM TAXUS CANADENSIS
N S CHEMICALS,"PARA CHLORO META XYLENOL (PCMX), USP"
APOTEX PHARMACHEM INC,MOEXIPRIL HYDROCHLORIDE USP
BIOIBERICA SA,CHONDROITIN SULFATE SODIUM SHARK INJECTABLE GRADE
NEULAND LABORATORIES LTD,FLUTICASONE PROPIONATE PH.EUR
BASELL POLIOLEFINE ITALIA SRL,PURELL ACP 6541 A (POLYETHYLENE HIGH DENSITY)
AREVIPHARMA GMBH,TRAMADOL HYDROCHLORIDE
SHINKO CHEMICAL CO LTD,EYEDROP CONTAINER TYPE 6
MOEHS IBERICA SL,MICRONIZED FENOFIBRATE & FENOFIBRATE
AMPACET CORP,100664-K RELEASY 64 POLYETHYLENE MASTERBATCH
AMPACET CORP,100665-K RELEASY 65 POLYPROPYLENE MASTERBATCH
AMPACET CORP,11447-K BLOMITE 47 POLYETHYLENE MASTERBATCH
AMPACET CORP,11343-K PROMITE- 43
KIRCHNER SIMON AND CO GMBH,O28L89070 TAMPER EVIDENT CAPS PP28 MADE OF PP WITH HOLE
KIRCHNER SIMON AND CO GMBH,OV2889070 TAMPER EVIDENT CAP PP 28 MADE OF PP WHITE WITH TAMPER EVIDENT RING MADE OF PP BLUE AND INJECTED JOINT MADE OF TPE
XIAN LIJUN PHARMACEUTICAL CO LTD,ERYTHROMYCIN THIOCYANATE
ALBERMARLE CORP,"AZONE(R), AN INACTIVE INGREDIENT"
FAR SPECIALTY PRODUCTS INC DBA FAR CHEMICAL,"CHLORHEXIDINE GLUCONATE 20% SOLUTION, USP"
SUN PHARMACEUTICAL INDUSTRIES LTD,DONEPEZIL HYDROCHLORIDE USP
EXEMPLAR PHARMACEUTICALS LLC,HFA 134A PLACEBO
CIPLA LTD,LEVALBUTEROL HYDROCHLORIDE USP
KATAYAMA SEIYAKU CO LTD,LOMEFLOXACIN HYDROCHLORIDE
WORLD JIANGSU INDUSTRY CO LTD,BACITRACIN ZINC USP (NON-STERILE DRUG SUBSTANCE)
JIANGSU SUNNY HEALTH INDUSTRY CO LTD,GALANTAMINE HYDROBROMIDE (NON-STERILE DRUG SUBSTANCE)
FONA INTERNATIONAL INC,833.051 N-C NATURAL & ARTIFICIAL COFFEE FLAVOR
FONA INTERNATIONAL INC,"861.094 HONEY FLAVOR, ARTIFICIAL"
FONA INTERNATIONAL INC,857.080 NATURAL GRAPEFRUIT EXTRACT (WONF)
EVONIK OPERATIONS GMBH,LISINOPRIL DIHYDRATE
SCINOPHARM TAIWAN LTD,LETROZOLE
NEKTAR THERAPEUTICS,PEG2MAL40K
GLENMARK LIFE SCIENCES LTD,"OLMESARTAN MEDOXOMIL, USP"
CHENGDA PHARMACEUTICALS CO LTD,LEVOCARNITINE USP
WANBURY LTD,GLUCOSAMINE HYDROCHLORIDE
NITTO DENKO CORP,PHARMACEUTICAL ADHESIVE FOR TRANSDERMAL SYSTEM: AV-V SOLUTION
BORMIOLI PHARMA SPA,PET BOTTLE 100 ML-FI8095
BORMIOLI PHARMA SPA,TE CLOSURE
BORMIOLI PHARMA SPA,"CHILD RESISTANT CLOSURE 28 MM: ""CHILD RESISTANT PLUS"""
AMINO CHEMICALS LTD,BENAZEPRIL HYDROCHLORIDE
ANQIU LUAN PHARMACEUTICAL CO LTD,ACETAMINOPHEN DC 90 3
EVONIK CORP,BIODEGRADABLE POLYMER EXCIPIENTS
STERLING WISCONSIN LLC,FP-059 (FOMEPIZOLE) DRUG SUBSTANCE
APITORIA PHARMA PRIVATE LTD,PAROXETINE HYDROCHLORIDE (HEMIHYDRATE) USP
APITORIA PHARMA PRIVATE LTD,BUPROPION HYDROCHLORIDE USP
NYPRO INC,CONTAINER CLOSURE SYSTEM OF THE DRY POWDER INHALER (DPI)
CADILA PHARMACEUTICALS LTD,CELECOXIB USP
P CHHOTALAL MANUFACTURERS EXPORTERS,"PLASTIC BOTTLES (MADE OF HDPE, LDPE, MDPE & PP) ALUMINUM COLLAPSIBLE TUBES, ALUMINUM AEROSOL CANS, ALUMINUM PHARMACEUTICAL FOIL AND POLYAL TAPE"
NEKTAR THERAPEUTICS,PEG2NHS40KP
LIMTECH CARBONATE INC,"LITHIUM CARBONATE, USP GRADE"
CHONGQING UNITED PHARMACEUTICAL CO LTD,PACLITAXEL DRUG SUBSTANCE
FERMION OY,QUETIAPINE FUMARATE ACTIVE PHARMACEUTICAL INGREDIENT
SUN PHARMACEUTICAL INDUSTRIES LTD,CARISOPRODOL USP (ACTIVE SUBSTANCE)
SUN PHARMACEUTICAL INDUSTRIES LTD,CEPHALEXIN USP (COMPACTED)
NIPPON CHEMIPHAR CO LTD,NC-2300 DRUG SUBSTANCE
EIRGENIX INC,CGMP MANUFACTURING FACILITY FOR PRODUCTION OF BIOPHARMACEUTICALS FOR CLINICAL TRIALS
SASOL GERMANY GMBH,LIPOXOL(R) MED
GRAHAM PACKAGING CO LP,PLASTIC CONTAINERS
ACS DOBFAR SPA,ACID CEFOTETAN
CADILA HEALTHCARE LTD,OLANZAPINE
EXCELLA GMBH AND CO KG,ADAPALENE
ALCAMI WISCONSIN CORP,"LETROZOLE, USP"
CARDIOME DEVELOPMENT AG,RSD1235 DRUG SUBSTANCE
FONA INTERNATIONAL INC,805.124 N-C ARTIFICIAL BANANA FLAVOR
FONA INTERNATIONAL INC,"936.420 MASKING AGENT FLAVOR, ARTIFICIAL"
FONA INTERNATIONAL INC,"875.017 MENTHOL FLAVOR, NATURAL"
FONA INTERNATIONAL INC,915.010 N-C ARTIFICIAL FRESH STRAWBERRY FLAVOR
ALCHYMARS ICM SM PRIVATE LTD,"CLINDAMYCIN HYDROCHLORIDE, USP"
CAMBREX KARLSKOGA AB,BUPIVACAINE BASE
SUN PHARMACEUTICAL INDUSTRIES LTD,PAROXETINE HYDROCHLORIDE HEMIHYDRATE USP
DR REDDYS LABORATORIES LTD,RIZATRIPTAN BENZOATE USP
CIPLA LTD,ALFUZOSIN HYDROCHLORIDE
CIPLA LTD,FAMCICLOVIR USP
CIPLA LTD,DESLORATADINE
CIPLA LTD,LEVO SALBUTAMOL SULPHATE
BASF SE,KOLLICOAT® PROTECT
EXOPHARM CO LTD,"IDARUBICIN HYDROCHLORIDE, USP NON-STERILE BULK DRUG SUBSTANCE"
APITORIA PHARMA PRIVATE LTD,RABEPRAZOLE SODIUM
FARMASERVICE SRL,"SQUARE HDPE BOTTLE, 95 ML"
FARMASERVICE SRL,"SQUARE HDPE BOTTLE, 25 ML"
FARMASERVICE SRL,"SQUARE HDPE BOTTLE, 165 ML"
VISTIN PHARMA AS,METFORMIN HYDROCHLORIDE
JIANGXI HENGXIANG PHARMCEUTICAL TECHNOLOGY CO LTD,ISOTRETINOIN (NON-STERILE BULK FORM)
DR REDDYS LABORATORIES LTD,ESOMEPRAZOLE MAGNESIUM (AMORPHOUS FORM)
KERRY INGREDIENTS AND FLAVOURS,NATURAL SPEARMINT FLAVOR WONF (080-00707) POWDER
HEBEI CHANGSHAN BIOCHEMICAL PHARMACEUTICAL CO LTD,HEPARIN SODIUM USP
SOLARA ACTIVE PHARMA SCIENCES LTD,"MEFENAMIC ACID, USP"
BESPAK DIV CONSORT MEDICAL PLC,BK357933MTA PHARMACEUTICAL METERING VALVE
EXCELLA GMBH,HALOPERIDOL DECANOATE
PCAS,ROPINIROLE HYDROCHLORIDE
FPC FLEXIBLE PACKAGING CORP,PHARMACEUTICAL POUCH - FPC SPECIFICATION 47515X
TIANISH LABORATORIES PRIVATE LTD,FORMOTEROL FUMARATE DIHYDRATE USP
IND SWIFT LABORATORIES LTD,ARIPIPRAZOLE
APRN ENTERPRISES PRIVATE LTD,"ALUMINIUM FOIL & PAPER LAMINATES -POLYLAMINATED & HEAT SEAL LACQUER (HSL) COATED FOR PACKING TABLETS, CAPSULES AND OTHER SOLID DOSAGE FORMS"
MDS NORDION,IODOFILTIC ACID I-123 STERILE INJECTION
CATALENT PHARMA SOLUTIONS LLC,"CARDINAL HEALTH'S STERILE MANUFACTURING FACILITIES IN SAN DIEGO, CA."
BENUVIA OPERATIONS LLC,DRONABINOL USP
HEINKE TECHNOLOGY INC,A MEASURING SPOON
SHANDONG WEIFANG PHARMACEUTICAL FACTORY CO LTD,HYDRALAZINE HYDROCHLORIDE (NON-STERILE ACTIVE PHARMACEUTICAL INGREDIENT)
LG CHEM LTD,ABS PRODUCTS INTENDED FOR USE IN DRUG PACKAGING APPLICATIONS
SYNTHON BV,ANASTROLZOLE
NATCO PHARMA LTD,SUMATRIPTAN
ZHEJIANG CHENG YI PHARMACEUTICAL CO LTD,RIBAVIRIN (NON-STERILE ACTIVE PHARMACEUTICAL INGREDIENT)
NARD CHEMICALS LTD,SON-216 API
NATCO PHARMA LTD,GRANISETRON HYDROCHLORIDE
CADILA PHARMACEUTICALS LTD,MELOXICAM
ZHEJIANG APELOA KANGYU PHARMACEUTICAL CO LTD,"LOVASTATIN USP, NON-STERILE ACTIVE PHARMACEUTICAL INGREDIENT"
LUPIN LTD,CARVEDILOL
YKF INC,SYNTHETIC AMORPHOUS SILICA PRODUCTS - SYLYSIA / ADSOLIDER
TERUMO CORP,IHL- 305 IRINOTECAN LIPOSOME INJECTION
IND SWIFT LABORATORIES LTD,CLARITHROMYCIN SPECIAL
CADILA HEALTHCARE LTD,ZOLPIDEM TARTRATE
ZYDUS LIFESCIENCES LTD,CLINDAMYCIN HYDROCHLORIDE
APITORIA PHARMA PRIVATE LTD,"AMPICILLIN TRIHYDRATE, USP"
LUPIN LTD,PANTOPRAZOLE SODIUM SESQUIHYDRATE
IONS PHARMA,METFORMIN HYDROCHLORIDE USP
FLAMMA SPA,LANSOPRAZOLE
STERIS ISOMEDIX SERVICES,"STERIS INC ISOMEDIX SERVICES FACILITY IN NOGALES, AZ."
CONCORD BIOTECH LTD,MYCOPHENOLATE MOFETIL USP
COGNIS DEUTSCHLAND GMBH CO KG,SPEZIOL G 86% PF
BASF PERSONAL CARE AND NUTRITION GMBH,"SPEZIOL G 99,8% PF"
AVIENT CORP,CC10047660BG COLORANT PRODUCT
TERUMO BCT LTD,"GAMBRO MANUFACTURING FACILITY IN ANTRIM, NORTHERN IRELAND"
CADILA HEALTHCARE LTD,GLYBURIDE
BIOINDUSTRIA LABORATORIO ITALIANO MEDICINALI SPA,TORSEMIDE (MOD 1) BULK SUBSTANCE
APITORIA PHARMA PRIVATE LTD,OXACILLIN SODIUM USP
COLORS FOR PLASTICS INC,"THERMOPLASTIC RESIN COLORANT MASTERBATCHES E14070, E14071, AND W07769"
TOYO INK CO LTD,MF357 PTP HS D2 VARNISH C AND MF790 PTP OP VARNISH
HEINKE TECHNOLOGY INC,SKIN TAG (ACROCHORDON) REMOVAL DEVICE TAGNER
JOHNSON MATTHEY PHARMACEUTICAL MATERIALS,ALENDRONIC ACID MONOHYDRATE (ALC)
ERREGIERRE SPA,NABUMETONE USP
CHITINOR AS,CHITOPHARM™ L
CHITINOR AS,CHITOPHARM™ M
CHITINOR AS,CHITOPHARM™ S
APITORIA PHARMA PRIVATE LTD,TOPIRAMATE USP
MATRIX TOOL INC,APPLICATOR STICK (PLASTIC INJECTION MOLDED COMPONENT)
OCEAN NUTRITION CANADA LTD,18/12 TG COMPLEX CAPSULES
USV PRIVATE LTD,PIOGLITAZONE HYDROCHLORIDE USP (EXTRA PURE)
SUN PHARMACEUTICAL INDUSTRIES LTD,ESCITALOPRAM OXALATE USP
KEY INTERNATIONAL INC,PVC/PVDC/PE LAMINATED FILM
CADILA PHARMACEUTICALS LTD,CHLORHEXIDINE BASE
YANGTZE RIVER PHARMACY GROUP JIANGSU HAI CI BIOLOGICAL PHARMACY CO LTD,"LANSOPRAZOLE, NON-STERILE DRUG SUBSTANCE"
TRICORBRAUN ANZ PTY LTD,"CORMACK TECR-PP (3 PIECE TAMPER EVIDENT CHILD RESISTANT CLOSURE FOR PILFER PROOF NECK FINISH, 28 MM)"
OKADA SHIGYO CO LTD,PACKAGING FILM FOR MEDICINE
CSL BEHRING GMBH,STERILE WATER FOR INJECTION
XIAN HUIFENG BIOCHEMISTRY GROUP CO LTD,"TROXERUTIN, NON-STERILE BULK FORM"
XIAN HUIFENG BIOCHEMISTRY GROUP CO LTD,"DIOSMIN, NON-STERILE BULK FORM"
ALCHEM INTERNATIONAL LTD,10 DEACETYL BACCATIN III (10 DAB III)
IPCA LABORATORIES LTD,MESALAMINE USP
CHEMISCHE FABRIK BERG GMBH,PENTOBARBITAL SODIUM USP
COPE ALLMAN JAYCARE LTD,60ML HDPE ROUND PACKER
DAH FENG CAPSULE INDUSTRY CO LTD,EMPTY HARD SHELL VEGETABLE CAPSULES (HYDROXYPROPYL METHYL CELLULOSE)
APITORIA PHARMA PRIVATE LTD,PIPERACILLIN USP
SUVEN LIFE SCIENCES LTD,DIVALPROEX SODIUM
LUPIN LTD,RISPERIDONE USP
TEVA PHARMACEUTICAL INDUSTRIES LTD,LORAZEPAM
ENDORECHERCHE INC,"ACOLBIFENE, NON-STERILE ACTIVE PHARMACEUTICAL INGREDIENT"
AMRI RENSSELAER INC,SGD-1006 (VC-MMAE) INTERMEDIATE
CREATIVE TECHNOPLAST,HDPE BOTTLE FOR PHARMACEUTICAL APPLICATIONS
UNIMARK REMEDIES LTD,FLECAINIDE ACETATE USP
GLOCHEM INDUSTRIES PRIVATE LTD,CETIRIZINE DIHYDROCHLORIDE
UNGERER AND CO,ARTIFICIAL BITTER MASKING FLAVOR FM-4730
UNGERER AND CO,N/A BLUEBERRY FLAVOR FM-4726
UNGERER AND CO,N/A STRAWBERRY FLAVOR FN-3927
UNGERER AND CO,N/A GRAPE FLAVOR FM-4727
SHANDONG FREDA BIOCHEM CO LTD,SODIUM HYALURONATE (NON-STERILE BULK FORM)
ADIT INDUSTRIES,NEUTRAL GLASS AMPOULES AND VIALS USP (TYPE 1)
APITORIA PHARMA PRIVATE LTD,METOPROLOL SUCCINATE USP
NEULAND LABORATORIES LTD,OLANZAPINE FORM-1 USP
APITORIA PHARMA PRIVATE LTD,METOPROLOL TARTRATE USP
YANGTZE RIVER PHARMACY GROUP JIANGSU HAI CI BIOLOGICAL PHARMACY CO LTD,TAMOXIFEN CITRATE USP
GENESIS INDUSTRIES INC,PACKAGING MATERIAL
USV PRIVATE LTD,DONEPEZIL HYDROCHLORIDE USP MONOHYDRATE
WOCKHARDT LTD,CLOPIDOGREL BISULFATE USP (FORM-1)
WOCKHARDT LTD,ZOLPIDEM TARTRATE
LUPIN LTD,CEFADROXIL USP
PHARMACIA AND UPJOHN SUB PFIZER INC,TRIAMCINOLONE 5 DRUG SUBSTANCE INTERMEDIATE
SHANGHAI JINSHAN BIOTECH CO LTD,PACLITAXEL
LUPIN LTD,LOSARTAN POTASSIUM USP (AMORPHOUS)
TEVA PHARMACEUTICAL INDUSTRIES LTD,FLUVASTATIN SODIUM
CADILA HEALTHCARE LTD,BUPROPION HYDROCHLORIDE
GATTEFOSSE SAS,EMULFREE P PHARMA
LUPIN LTD,ALENDRONATE SODIUM USP
ADHESIVES RESEARCH INC,AS-131 ADHESIVE
LUPIN LTD,VALSARTAN USP
BPREX HEALTHCARE OFFRANVILLE SAS,PILLJARS BI (80 ML & 120 ML)
ALTIUM PACKAGING LP,CONTAINERS FOR PHARMACEUTICAL APPLICATIONS
LYNE LABORATORIES INC,PLASTIGEL 5 (PLASTICIZED HYDROCARBON GEL)
POLIMERI EUROPA FRANCE,FLEXIRENE MT40
POLYONE CORP,CC10075538WE
NECTAR LIFESCIENCES LTD,CEFIXIME USP
APITORIA PHARMA PRIVATE LTD,FINASTERIDE USP
CIPLA LTD,MITOXANTRONE HYDROCHLORIDE USP
ESTEVE QUIMICA SA,LANSOPRAZOLE
SUMITOMO CHEMICAL CO LTD,BICALUTAMIDE DRUG SUBSTANCE
SHISEIDO CO LTD,SALAMANDER 300
SAFC PHARMA,"OLEYLAMINE, PURIFIED (AN EXCIPIENT)"
LUPIN LTD,TOLTERODINE TARTRATE USP
LUPIN LTD,TOPIRAMATE USP
LUPIN LTD,AZITHROMYCIN MONOHYDRATE USP
NV ORGANON,NORGESTIMATE
SANMAR SPECIALITY CHEMICALS LTD,"NISOLDIPINE, NON-STERILE BULK DRUG SUBSTANCE"
APITORIA PHARMA PRIVATE LTD,SUMATRIPTAN SUCCINATE USP
SPI PHARMA INC,BARCROFT(TM) 5300D MAGNESIUM HYDROXIDE USP
BESPAK DIV CONSORT MEDICAL PLC,BK357978MTA PHARMACEUTICAL METERING VALVE
LIPOID GMBH,LIPOID S 100 E
BCN PEPTIDES SA,DESMOPRESSIN ACETATE
PURISYS LLC,"DRONABINOL, 10% IN SESAME OIL"
SUVEN PHARMACEUTICALS LTD,2-(2-ETHOXY PHENOXY) ETHYL BROMIDE - DRUG INTERMEDIATE
ANTIBIOTICOS DO BRASIL LTDA,CEFTRIAXONE SODIUM USP (STERILE BULK)
AUROBINDO PHARMA LTD,6-AMINO PENICILLANIC ACID DRUG SUBSTANCE INTERMEDIATE
ORBION PHARMACEUTICALS PRIVATE LTD,DESLORATADINE
ORBION PHARMACEUTICALS PRIVATE LTD,SUMATRIPTAN SUCCINATE
PRAVESHA INDUSTRIES PRIVATE LTD,HIGH DENSITY POLYETHYLENE CONTAINERS
TEVA PHARMACEUTICAL INDUSTRIES LTD,AZTREONAM USP
ERREGIERRE SPA,PIOGLITAZONE HYDROCHLORIDE
BARALAN INTERNATIONAL SPA,"PLASTIC CAPS, PLASTIC RODS AND NYLON BRUSHES"
BARALAN INTERNATIONAL SPA,GLASS BOTTLES
STEPAN SPECIALTY PRODUCTS LLC,"ONAMER(R) M, POLYQUATERNIUM-1"
WAVELENGTH ENTERPRISES LTD,TEMOZOLOMIDE
CRODA INC,SUPER REFINED POLYETHYLENE GLYCOL 400 NF
ARDANA BIOSCIENCE LTD,TESTOSTERONE CREAM 1% (ARD-0403)
CHEMPACIFIC CORP,METHOXSALEN DRUG SUBSTANCE
SCHOTT KAISHA PVT LTD,NON-STERILE GLASS BARRELS (SYRINGES)
SCHOTT KAISHA PVT LTD,SAFEPAC STERILE PRE-FILLABLE GLASS SYRINGE COMPONENTS
CAFOSA GUM SAU,DREYCO CHEWING GUM BASE
CAFOSA GUM SAU,CAFOSA 257 CLASSIC
CAFOSA GUM SAU,CAFOSA 258 SOFT
PCAS,BISMUTH SUBSALICYLATE
"HTI PLASTICS, A DIVISION OF PCE INC",COMFORT TIP VAGINAL CREAM APPLICATOR
UNGERER AND CO,N/A BANANA FLAVOR WS FN-6713
UNGERER AND CO,N/ACITRUS FLAVOR FN-7176
UNGERER AND CO,N/A FRUIT FLAVOR FN-6714
UNGERER AND CO,N/A MASKER FLAVOR FN-6820
SECOND PHARMA CO LTD,TERAZOSIN HYDROCHLORIDE
EVONIK CORP,PRECIPITATED SILICA
FUJIMORI KOGYO CO LTD,RELEASE LINER FILM FOR USE IN TRANSDERMAL DRUG DELIVERY PATCHES - FILMBYNA **E-0010 BD ORIGINAL
HUBEI HAOSUN PHARMACEUTICAL CO LTD,GRANISETRON HYDROCHLORIDE (NON-STERILE)
MYLAN LABORATORIES LTD,LABETALOL HYDROCHLORIDE USP
MYLAN LABORATORIES LTD,OMEPRAZOLE MAGNESIUM USP
MYLAN LABORATORIES LTD,NEVIRAPINE HEMIHYDRATE USP
TIANISH LABORATORIES PRIVATE LTD,MIRTAZAPINE USP (ANHYDROUS)
ERREGIERRE SPA,RISPERIDONE PH. EUR.
PAIN THERAPEUTICS INC,"REFERENCE INFORMATION TO SUPPORT THE SAFETY OF TRIACETIN (GLYCEROL TRIACETATE) USP, AS A PHARMACEUTICAL EXCIPIENT."
SUN PHARMACEUTICAL INDUSTRIES LTD,SUMATRIPTAN SUCCINATE USP
ORCHID CHEMICALS AND PHARMACEUTICALS LTD,CARVEDILOL
JEEVANLAKSHMI PACKAGING SOLUTIONS PVT LTD,ROLL ON PILFER PROOF (ROPP) CAPS
JEEVANLAKSHMI PACKAGING SOLUTIONS PVT LTD,COLLAPSIBLE ALUMINIUM TUBES
CHEMOSWED AB,ISRADIPINE
STREAM PEAK INTERNATIONAL PTE LTD,PERFORMANCE DRY DESICCANT PACKETS
STREAM PEAK INTERNATIONAL PTE LTD,HUMI DRI DESICCANT PACKETS
MATRIX LABORATORIES LTD,"NEVIRAPINE USP, NON-STERILE BULK FORM"
PAIN THERAPEUTICS INC,REFERENCE INFORMATION TO SUPPORT THE SAFETY OF CELLULOSE ACETATE BUTYRATE 381-20BP AS A PHARMACEUTICAL EXCIPIENT.
PAIN THERAPEUTICS INC,REFERENCE INFORMATION TO SUPPORT THE SAFETY OF ISOPROPYL MYRISTATE AS A PHARMACEUTICAL EXCIPIENT.
PAIN THERAPEUTICS INC,REFERENCE INFORMATION TO SUPPORT THE SAFETY OF ETHYL LACTATE AS A PHARMACEUTICAL EXCIPIENT.
TONIRA PHARMA LTD,FAMOTIDINE
DR REDDYS LABORATORIES LTD,OLMESARTAN MEDOXOMIL
WOCKHARDT LTD,ENTACAPONE USP
CADILA PHARMACEUTICALS LTD,VENLAFAXINE HYDROCHLORIDE USP
APITORIA PHARMA PRIVATE LTD,LEVETIRACETAM USP
APITORIA PHARMA PRIVATE LTD,CARISOPRODOL USP
SPI PHARMA INC,PHARMAGUM(TM) C
ZHEJIANG HUAYI PHARMACEUTICAL CO LTD,CLARITHROMYCIN
PETROMONT INC,HIGH DENSITY POLYETHYLENE RESINS HDPE 1000 AND HDPE 1002
TEKNOR COLOR CO,"COLOR CONCENTRATE 91,355HCTPE WHITE 50:1"
EMS CHEMIE NORTH AMERICA INC,GRIVORY HB 7103 NATURAL
RESPONSIVE POLYMERS LTD,PVC FILMS
INEOS CHLORVINYLS BELGIUM NV,NORVINYL S7102
SIEGFRIED USA INC,OXYCODONE HYDROCHLORIDE USP
SUVEN PHARMACEUTICALS LTD,(R)-(-)-5-(2-AMINOPROPYL)-2-METHOXYBENZENE SULPHONAMIDE HYDROCHLORIDE DRUG INTERMEDIATE
APITORIA PHARMA PRIVATE LTD,ZALEPLON USP
SANDOZ INDUSTRIAL PRODUCTS SPA,LOVASTATIN DRUG SUBSTANCE INTERMEDIATE
GLENMARK LIFE SCIENCES LTD,LORATADINE USP
ORCHID PHARMA LTD,CEFDINIR FORM-B
SYMBIOTEC PHARMALAB PRIVATE LTD,HALOBETASOL PROPIONATE
TEVA PHARMACEUTICAL INDUSTRIES LTD,DESLORATADINE DRUG SUBSTANCE
BIOCON LTD,ROSIGLITAZONE MALEATE DRUG SUBSTANCE
HENRY H OTTENS MANUFACTURING CO INC,NATURAL MINT FLAVOR #9295
HENRY H OTTENS MANUFACTURING CO INC,NATURAL PEPPERMINT FLAVOR EXTRACT #7801
ZHEJIANG EXCEL PHARMACEUTICAL CO LTD,GEMFIBROZIL USP
ISOCHEM SAS,CARISOPRODOL
APITORIA PHARMA PRIVATE LTD,CLOPIDOGREL BISULFATE USP
COSMA SPA,BICALUTAMIDE
ERCROS INDUSTRIAL SA FYSE,COMPACTIN
M AND H PLASTICS,PACKAGING MATERIAL
AARTI PHARMALABS LTD,QUINAPRIL HYDROCHLORIDE USP
3M DRUG DELIVERY SYSTEMS DIV,"SCOTCHPAK 9734, 2-MIL POLYESTER FILM LAMINATE"
FORMOSA LABORATORIES INC,CALCIPOTRIOL ANHYDROUS
MALLADI DRUGS AND PHARMACEUTICALS LTD,THREO-RITALINIC ACID AND SALT
URQUIMA SA,OLOPATADINE HYDROCHLORIDE
DAIKYO SEIKO LTD,RSV COMPONENT WASHING PROCESS AT SANO HANEDA PLANT I
SOUTHWEST SYNTHETIC PHARMACEUTICAL CORP LTD,MECLIZINE HYDROCHLORIDE
HANZHONG HANJIANG VENTUREPHARM PHARMACEUTICAL LTD,BUPROPION HYDROCHLORIDE
BEIJING YI HE BIOTECH CO LTD,"PACLITAXEL USP, NON-STERILE BULK"
CURIA ITALY SRL,AZELASTINE HYDROCHLORIDE
PCAS,INDOCYANINE GREEN
EVONIK DEGUSSA CORP,CALCIUM SILICATE
SHANDONG LUNAN BETTER PHARMACEUTICAL CO LTD,MOSAPRIDE CITRATE (NON-STERILE BULK FORM)
HELSINN ADVANCED SYNTHESIS SA,SODIUM BENZOATE
SUN PHARMACEUTICAL INDUSTRIES LTD,GEMCITABINE HYDROCHLORIDE USP
GLENMARK LIFE SCIENCES LTD,DESLORATADINE
GEDEON RICHTER PLC,NORGESTIMATE USP
RELIANCE CELLULOSE PRODUCTS LTD,CARBOXYMETHYLCELLULOSE SODIUM USP
WACKER CHEMICAL CORP,VINNOL(R) E 22/48 A
SINTENOVO SA DE CV,CETIRIZINE DIHYDROCHLORIDE
ZHEJIANG XIANJU PHARMACEUTICAL CO LTD,"MEDROXYPROGESTERONE ACETATE USP, NON-STERILE BULK DRUG SUBSTANCE"
SOFIE CO DBA SOFIE,IODINE-124
FLEXTRUS AB,"TRANSOFOIL EL-OPET/PELD LAMINATE, SPECIFICATION 2383150-0008"
FLEXTRUS AB,"TRANSOFOIL EL-OPET/PELD, SPECIFICATION 2383150-0008"
FLEXTRUS AB,"TRANSOFOIL EL-OPET/PE LAMINATE, MATERIAL SPECIFICATION M80142"
ISOTEC,"POTASSIUM PALMITATE-1,2,3,4-(13)C(4) FOR CLINICAL RESEARCH"
CATALENT ONTARIO LTD,GELATIN MASS FOR SOFT GEL CAPSULES
AARTI DRUGS LTD,ZOLPIDEM TARTRATE
DIVIS LABORATORIES LTD,DESLORATADINE
HEC PHARM CO,"METRONIDAZOLE USP, NON-STERILE BULK FORM"
HEC PHARM CO LTD,"ERYTHROMYCIN THIOCYANATE, PHARMACEUTICAL INTERMEDIATE BULK FORM"
HEC PHARM CO LTD,"ERYTHROMYCIN USP, NON-STERILE BULK FORM"
ROY + LECLAIR EMBALLAGE INC,ROPACKS (ROUND PACKER BOTTLES)
JUBILANT PHARMOVA LTD,ESCITALOPRAM OXALATE USP
APITORIA PHARMA PRIVATE LTD,OXYBUTYNIN CHLORIDE
ENDO OPERATIONS LTD,MOLINDONE HYDROCHLORIDE
ZHEJIANG SUPOR PHARMACEUTICALS CO LTD,"FELODIPINE, NON-STERILE DRUG SUBSTANCE USP"
